label,market,n,win_rate,roi,p,n_hold,hold_wr,sig_fdr10
Wind >= 15 under,OU,674,0.56973293768546,0.08767197194496901,0.0185914744528516,202,0.5594059405940595,True
Wind >= 20 under,OU,184,0.5597826086956522,0.06867588932806334,0.33816663719468054,43,,False
Home dog >= 7,ATS,509,0.5579567779960707,0.0651902125379531,0.1313073707495203,220,0.55,False
Away off bye (rest>=12),ATS,446,0.5291479820627802,0.01019160211985315,0.8496459430359578,166,0.5060240963855421,False
Away rest edge >=3,ATS,685,0.5255474452554745,0.0033178500331785266,0.939045397821537,303,0.5313531353135313,False
Divisional: away,ATS,2660,0.5244360902255639,0.0011961722488038617,0.9535679079421938,958,0.5125260960334029,False
"Spread exactly 3, take dog",ATS,1049,0.5243088655862727,0.0009532888465205169,0.9753542258084439,352,0.5227272727272727,False
Big dog >= 10 (any),ATS,878,0.520501138952164,-0.006316007454959693,0.865863191021577,333,0.4954954954954955,False
Week 1-4 away,ATS,1625,0.5175384615384615,-0.011972027972028065,0.6194523152896073,623,0.5280898876404494,False
Road underdog,ATS,4604,0.5171589921807124,-0.012696469473185479,0.36814293550516497,1668,0.5173860911270983,False
Divisional under,OU,2691,0.5169082125603864,-0.013175230566535023,0.4752559376286323,969,0.5067079463364293,False
Primetime under,OU,1337,0.5168287210172027,-0.013326987148976732,0.6221601275425873,601,0.5424292845257903,False
Playoffs under,OU,302,0.5165562913907285,-0.013847080072245721,0.8178990483001305,120,0.5083333333333333,False
Total >= 50 under,OU,709,0.5148095909732017,-0.01718168996025138,0.6518992008098583,400,0.5175,False
Dome over,OU,1793,0.5147796988287786,-0.01723875678142267,0.4493607819038247,788,0.5076142131979695,False
Outdoor under,OU,5377,0.5123674911660777,-0.021843880501124402,0.09577508110970742,1950,0.5174358974358975,False
ALL: bet away ATS,ATS,7081,0.5095325518994492,-0.027256037282869627,0.016252003687632056,2696,0.5074183976261127,True
"Spread 3.5-6.5, take dog",ATS,2418,0.5095119933829612,-0.027295285359801413,0.16013565124571455,931,0.5177228786251342,False
Week 15+ home,ATS,1629,0.5089011663597299,-0.028461409676879268,0.23381961942274948,664,0.5180722891566265,False
Playoffs home,ATS,303,0.5082508250825083,-0.02970297029702962,0.6049632829068117,122,0.5327868852459017,False
Home dog >= 3,ATS,1796,0.5072383073496659,-0.03163595869609237,0.16339676839699446,724,0.5138121546961326,False
Total <= 40 over,OU,1804,0.5066518847006651,-0.032755492844184775,0.15046664904710358,338,0.514792899408284,False
ALL: bet under,OU,7170,0.5055788005578801,-0.03480410802586531,0.002028653067395039,2738,0.5102264426588751,True
Road dog >= 7,ATS,1636,0.5055012224938875,-0.03495221160257839,0.1441758000240468,555,0.4900900900900901,False
Thursday game under,OU,323,0.5046439628482973,-0.03658879819870525,0.5041289369356776,179,0.49162011173184356,False
Home underdog,ATS,2477,0.5046427129592249,-0.03659118435057063,0.05862272515642896,1028,0.5087548638132295,False
Week 15+ under,OU,1649,0.5021224984839296,-0.04140250289431613,0.08003907590932546,675,0.4888888888888889,False
Primetime home,ATS,1322,0.4962178517397882,-0.05267501031494981,0.04738475077032823,590,0.5050847457627119,False
ALL: bet over,OU,7170,0.49442119944211993,-0.05610498288322563,6.796525930812258e-07,2738,0.48977355734112493,True
ALL: bet home ATS,ATS,7081,0.49046744810055076,-0.06365305362622131,2.0760999668095238e-08,2696,0.49258160237388726,True
Home rest edge >=3,ATS,701,0.48787446504992865,-0.06860329399559073,0.058672067695738135,293,0.4880546075085324,False
Small spread <= 3,ATS,2518,0.48332009531374104,-0.07729799985558528,5.077631698336849e-05,990,0.48383838383838385,True
Week 1-4 home,ATS,1625,0.48246153846153844,-0.07893706293706293,0.0008715598720601797,623,0.47191011235955055,True
Big favorite >= 10,ATS,878,0.479498861047836,-0.08459308345413125,0.009243901373386165,333,0.5045045045045045,True
Home off bye (rest>=12),ATS,555,0.47927927927927927,-0.08501228501228503,0.03728232471717133,192,0.484375,False
Divisional: home,ATS,2660,0.4755639097744361,-0.0921052631578948,6.610574696137392e-07,958,0.48747390396659707,True
Temp <= 32 under,OU,377,0.46949602122015915,-0.1036894140342417,0.039025051621453866,131,0.5114503816793893,False
