book,n,games,flip_rate,dev_sd,big_rate,defective
betanysports,5422,542,16.23,5.125,21.6,True
nordicbet,11633,847,0.33,1.892,9.33,True
betsson,5075,374,0.28,2.505,12.41,True
superbook,3160,273,0.06,0.539,0.25,False
mybookieag,11276,853,0.05,0.568,0.09,False
tipico_de,8387,570,0.05,0.98,1.57,True
barstool,1753,164,0.0,0.464,0.0,False
betonlineag,12367,853,0.0,0.474,0.02,False
betmgm,10257,813,0.0,0.454,0.0,False
draftkings,10891,841,0.0,0.509,0.04,False
everygame,10702,852,0.0,0.415,0.0,False
fanatics,3296,284,0.0,0.456,0.03,False
fanduel,10805,841,0.0,0.526,0.03,False
betrivers,10823,841,0.0,0.453,0.02,False
betus,10470,841,0.0,0.678,0.73,False
bovada,10352,838,0.0,0.538,0.12,False
coolbet,10937,853,0.0,0.461,0.0,False
lowvig,10679,841,0.0,0.452,0.02,False
livescorebet_eu,2788,256,0.0,0.523,0.11,False
leovegas_se,2449,177,0.0,0.454,0.04,False
gtbets,8549,570,0.0,0.441,0.01,False
onexbet,12339,851,0.0,0.582,0.08,False
matchbook,12303,853,0.0,0.611,0.09,False
sport888,11392,803,0.0,0.536,0.01,False
pointsbetus,3230,273,0.0,0.47,0.0,False
twinspires,2346,207,0.0,0.473,0.04,False
unibet_eu,3711,283,0.0,0.461,0.03,False
unibet_it,1110,130,0.0,0.34,0.0,False
unibet_nl,4009,285,0.0,0.433,0.02,False
unibet_se,3501,255,0.0,0.434,0.03,False
unibet_us,3245,273,0.0,0.457,0.03,False
williamhill_us,10562,841,0.0,0.448,0.01,False
wynnbet,3003,272,0.0,0.476,0.0,False
