lead,thr,n_hourly,err_sd,bets_per_season,under,lo,hi,roi110,P_beat_vig
1,11,298944,2.61,46.1,57.41,52.9,61.9,9.61,0.986
1,12,298944,2.61,36.4,57.77,52.8,63.2,10.29,0.987
1,13,298944,2.61,28.3,57.65,51.8,63.5,10.05,0.962
2,11,298944,2.75,50.8,56.99,52.4,61.3,8.8,0.975
2,12,298944,2.75,40.0,57.29,52.4,62.5,9.36,0.977
2,13,298944,2.75,30.8,57.41,51.9,62.9,9.6,0.963
3,11,298944,2.98,49.2,56.7,52.3,61.0,8.24,0.974
3,12,298944,2.98,38.5,56.93,51.8,61.9,8.68,0.957
3,13,298944,2.98,29.5,57.33,51.6,63.0,9.45,0.955
4,11,298944,3.29,46.9,56.38,51.7,60.8,7.64,0.953
4,12,298944,3.29,36.5,56.59,51.3,61.8,8.03,0.951
4,13,298944,3.29,27.9,56.87,51.2,62.4,8.58,0.935
5,11,298944,3.63,44.5,55.82,51.2,60.5,6.57,0.929
5,12,298944,3.63,34.6,56.24,51.1,61.3,7.37,0.925
5,13,298944,3.63,26.3,56.45,50.2,62.4,7.76,0.901
6,11,298944,4.01,42.4,55.51,50.7,59.9,5.97,0.902
6,12,298944,4.01,32.7,55.75,50.8,60.5,6.43,0.899
6,13,298944,4.01,24.6,55.86,49.4,62.1,6.63,0.857
7,11,298944,4.23,42.1,54.89,50.1,59.7,4.79,0.85
7,12,298944,4.23,32.2,55.25,49.7,60.9,5.48,0.857
7,13,298944,4.23,24.2,55.51,49.6,61.4,5.97,0.837
